HP:0006863	28.86
HP:0001969	20.75
HP:0011312	nan
HP:0040320	nan
HP:0011255	nan
HP:0040112	nan
HP:0040176	nan
HP:0031498	nan
HP:0008216	32.43
HP:0005449	45.62
HP:0000158	13.71
HP:0031846	nan
HP:0001928	10.31
HP:0031842	33.18
HP:0002060	2.45
HP:0009837	nan
HP:0011162	nan
HP:0010731	nan
HP:0030564	nan
HP:0045042	nan
HP:0008396	nan
HP:0004033	nan
HP:0009064	27.52
HP:0009019	nan
HP:0012846	nan
HP:0005484	12.17
HP:0100322	nan
HP:0003942	nan
HP:0100444	nan
HP:0009329	nan
HP:0009109	2.47
HP:0030339	nan
HP:0002588	33.15
HP:0012639	1.89
HP:0003459	nan
HP:0012466	nan
HP:0006089	28.64
HP:0040323	nan
HP:0007727	nan
HP:0011205	nan
HP:0004871	33.39
HP:0007437	nan
HP:0001952	9.50
HP:0031577	nan
HP:0009140	28.93
HP:0025075	nan
HP:0005994	68.46
HP:0002179	25.60
HP:0100492	31.92
HP:0025399	nan
HP:0000472	40.24
HP:0007098	31.75
HP:0002979	16.15
HP:0500244	nan
HP:0031044	nan
HP:0005274	42.86
HP:0009386	nan
HP:0030893	nan
HP:0100016	24.28
HP:0006643	nan
HP:0025070	nan
HP:0032287	nan
HP:0005490	65.73
HP:0003337	nan
HP:0000914	20.50
HP:0006934	39.28
HP:0032110	nan
HP:0002600	28.62
HP:0030446	nan
HP:0001977	24.47
HP:0011863	26.28
HP:0004255	nan
HP:0012456	nan
HP:0410291	nan
HP:0100401	nan
HP:0031670	nan
HP:0008775	77.75
HP:0031201	nan
HP:0001555	50.82
HP:0005772	39.84
HP:0010977	32.05
HP:0006713	27.42
HP:0001996	49.07
HP:0006931	6.28
HP:0032289	nan
HP:0100878	nan
HP:0031762	nan
HP:0031945	nan
HP:0004464	55.02
HP:0007797	nan
HP:0009552	31.06
HP:0031656	nan
HP:0012633	55.28
HP:0006500	20.41
HP:0000976	25.54
HP:0032026	nan
HP:0032323	nan
HP:0002300	28.70
HP:0000253	23.99
HP:0004440	31.09
HP:0011944	49.16
HP:0032330	nan
HP:0100522	33.62
HP:0100175	nan
HP:0000433	20.93
HP:0001874	8.21
HP:0010140	nan
HP:0031097	30.29
HP:0002465	14.49
HP:0011533	nan
HP:0000419	41.09
HP:0032060	nan
HP:0031883	nan
HP:0007613	nan
HP:0003887	16.43
HP:0009726	21.81
HP:0032054	nan
HP:0009701	21.16
HP:0002841	18.94
HP:0008757	nan
HP:0001762	8.99
HP:0001340	38.14
HP:0006647	nan
HP:0010388	nan
HP:0010798	nan
HP:0025507	nan
HP:0410185	nan
HP:0032120	nan
HP:0030886	28.86
HP:0001679	10.26
HP:0100180	nan
HP:0030300	nan
HP:0410055	nan
HP:0030781	nan
HP:0040117	nan
HP:0007688	23.71
HP:0007685	38.17
HP:0410144	nan
HP:0002707	45.91
HP:0100484	nan
HP:0003573	33.72
HP:0025622	nan
HP:0004432	30.35
HP:0032277	nan
HP:0003463	30.63
HP:0030356	nan
HP:0030928	nan
HP:0007710	42.45
HP:0030035	nan
HP:0010627	20.71
HP:0031126	nan
HP:0010152	nan
HP:0032140	nan
HP:0025476	nan
HP:0000463	5.16
HP:0006508	20.85
HP:0007325	nan
HP:0002478	46.30
HP:0011721	nan
HP:0010092	nan
HP:0025074	nan
HP:0012124	nan
HP:0011693	nan
HP:0500044	nan
HP:0030685	nan
HP:0001412	nan
HP:0003535	27.15
HP:0008953	28.26
HP:0100812	nan
HP:0005070	nan
HP:0040086	49.49
HP:0100269	46.94
HP:0030155	nan
HP:0008542	62.54
HP:0011821	3.92
HP:0001441	51.46
HP:0010587	37.65
HP:0009063	20.54
HP:0030120	nan
HP:0030591	nan
