Rank	Weighted Human Phenotype Scoring	Original Phenolyzer (v0.2.2)
Top 10	13.7	8.2
Top 50	19.2	13.7
Top 100	21.9	15.1
Top 250	30.1	21.9
Top 500	32.9	27.4
Top 1000	42.5	43.8
